Price,Close,High,Low,Open,Volume,Log_return,realized_volatility_20d
Ticker,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC,,
Date,,,,,,,
2016-01-28,1893.3599853515625,1902.9599609375,1873.6500244140625,1885.219970703125,4693010000,0.005513350717591524,0.01344194882701746
2016-01-29,1940.239990234375,1940.239990234375,1894.0,1894.0,5497570000,0.024458650994556432,0.014910412421759296
2016-02-01,1939.3800048828125,1947.199951171875,1920.300048828125,1936.93994140625,4322530000,-0.00044333484554180534,0.014843481226109515
2016-02-02,1903.030029296875,1935.260009765625,1897.2900390625,1935.260009765625,4463190000,-0.01892096871823143,0.015021787903296538
2016-02-03,1912.530029296875,1918.010009765625,1872.22998046875,1907.0699462890625,5172950000,0.0049796200215740235,0.01508637344411689
2016-02-04,1915.449951171875,1927.3499755859375,1900.52001953125,1911.6700439453125,5193320000,0.0015255682925234377,0.01490262450638185
2016-02-05,1880.050048828125,1913.0699462890625,1872.6500244140625,1913.0699462890625,4929940000,-0.018654158276351848,0.01453007781263989
2016-02-08,1853.43994140625,1873.25,1828.4599609375,1873.25,5636460000,-0.014255057923057347,0.014661358642058048
2016-02-09,1852.2099609375,1868.25,1834.93994140625,1848.4599609375,5183220000,-0.0006638406467602255,0.014650740704184125
2016-02-10,1851.8599853515625,1881.5999755859375,1850.3199462890625,1857.0999755859375,4471170000,-0.00018896813076091644,0.014481487037485115
2016-02-11,1829.0799560546875,1847.0,1810.0999755859375,1847.0,5500800000,-0.012377447329256216,0.013667783877580376
2016-02-12,1864.780029296875,1864.780029296875,1833.4000244140625,1833.4000244140625,4696920000,0.01933001520704595,0.013874582882954144
2016-02-16,1895.5799560546875,1895.77001953125,1871.43994140625,1871.43994140625,4570670000,0.016381737741684915,0.013555530566814673
2016-02-17,1926.8199462890625,1930.6800537109375,1898.800048828125,1898.800048828125,5011540000,0.016346110625641338,0.01401677452930399
2016-02-18,1917.8299560546875,1930.0,1915.0899658203125,1927.5699462890625,4436490000,-0.004676632123934705,0.01375920125676027
2016-02-19,1917.780029296875,1918.780029296875,1902.1700439453125,1916.739990234375,4142850000,-2.60332818018429e-05,0.013736087202240177
2016-02-22,1945.5,1946.699951171875,1924.43994140625,1924.43994140625,4054710000,0.014350731099076084,0.013378604779771043
2016-02-23,1921.27001953125,1942.3800048828125,1919.43994140625,1942.3800048828125,3890650000,-0.01253257757078849,0.013183724507978398
2016-02-24,1929.800048828125,1932.0799560546875,1891.0,1917.56005859375,4317250000,0.0044299600346319485,0.012860605445640808
2016-02-25,1951.699951171875,1951.8299560546875,1925.4100341796875,1931.8699951171875,4118210000,0.011284366730450844,0.012764167353831131
2016-02-26,1948.050048828125,1962.9599609375,1945.780029296875,1954.949951171875,4348510000,-0.0018718653295646535,0.012757700174356158
2016-02-29,1932.22998046875,1958.27001953125,1931.81005859375,1947.1300048828125,4588180000,-0.008154131091571704,0.011698789150983742
2016-03-01,1978.3499755859375,1978.3499755859375,1937.0899658203125,1937.0899658203125,4819750000,0.023588385401618943,0.012850665723396337
2016-03-02,1986.449951171875,1986.510009765625,1968.800048828125,1976.5999755859375,4666610000,0.0040859498611017005,0.011973889920619051
2016-03-03,1993.4000244140625,1993.68994140625,1977.3699951171875,1985.5999755859375,5081700000,0.003492634320316937,0.011959971628646798
2016-03-04,1999.989990234375,2009.1300048828125,1986.77001953125,1994.010009765625,6049930000,0.0033004398659416986,0.011962298133842617
2016-03-07,2001.760009765625,2006.1199951171875,1989.3800048828125,1996.1099853515625,4968180000,0.0008846228008639487,0.010925981692647796
2016-03-08,1979.260009765625,1996.8800048828125,1977.4300537109375,1996.8800048828125,4641650000,-0.011303756056006186,0.010696246547716408
2016-03-09,1989.260009765625,1992.68994140625,1979.8399658203125,1981.43994140625,4038120000,0.00503967278281425,0.01066142757733627
2016-03-10,1989.5699462890625,2005.0799560546875,1969.25,1990.969970703125,4376790000,0.00015579279712262694,0.010655308355394287
2016-03-11,2022.18994140625,2022.3699951171875,1994.7099609375,1994.7099609375,4078620000,0.016262545588851488,0.010316068661351114
2016-03-14,2019.6400146484375,2024.5699462890625,2012.050048828125,2019.27001953125,3487850000,-0.0012617686166117468,0.009828586734760128
2016-03-15,2015.9300537109375,2015.93994140625,2005.22998046875,2015.27001953125,3560280000,-0.0018386309343179589,0.009456817420239474
2016-03-16,2027.219970703125,2032.02001953125,2010.0400390625,2014.239990234375,4057020000,0.005584727881779697,0.008954982659644978
2016-03-17,2040.5899658203125,2046.239990234375,2022.1600341796875,2026.9000244140625,4530480000,0.006573583068596323,0.008830302140659128
2016-03-18,2049.580078125,2052.360107421875,2041.1600341796875,2041.1600341796875,6503140000,0.004395967251026178,0.008803170722638224
2016-03-21,2051.60009765625,2053.909912109375,2043.1400146484375,2047.8800048828125,3376600000,0.0009850919042923014,0.008421002297449586
2016-03-22,2049.800048828125,2056.60009765625,2040.5699462890625,2048.639892578125,3418460000,-0.0008777728967722512,0.007685863251557705
2016-03-23,2036.7099609375,2048.550048828125,2034.8599853515625,2048.550048828125,3639510000,-0.00640650953066712,0.007973961544581378
2016-03-24,2035.93994140625,2036.0400390625,2022.489990234375,2032.47998046875,3407720000,-0.0003781417793768198,0.0077357203861407944
2016-03-28,2037.050048828125,2042.6700439453125,2031.9599609375,2037.8900146484375,2809090000,0.000545106888072358,0.007688932037804352
2016-03-29,2055.010009765625,2055.909912109375,2028.31005859375,2035.75,3822330000,0.00877801205423741,0.007412153164703872
2016-03-30,2063.949951171875,2072.2099609375,2058.27001953125,2058.27001953125,3590310000,0.0043408799935662195,0.005649146917109219
2016-03-31,2059.739990234375,2067.919921875,2057.4599609375,2063.77001953125,3715280000,-0.0020418423596207116,0.005702711152834375
2016-04-01,2072.780029296875,2075.070068359375,2043.97998046875,2056.6201171875,3749990000,0.006310959066599757,0.005780725515947431
2016-04-04,2066.1298828125,2074.02001953125,2062.570068359375,2073.18994140625,3485710000,-0.003213480045854618,0.005883371518527988
2016-04-05,2045.1700439453125,2062.5,2042.56005859375,2062.5,4154920000,-0.01019629841179453,0.006451281368543527
2016-04-06,2066.659912109375,2067.330078125,2043.0899658203125,2045.56005859375,3750800000,0.01045279793201316,0.006078016832109256
2016-04-07,2041.9100341796875,2063.010009765625,2033.800048828125,2063.010009765625,3801250000,-0.012048073970004866,0.006809046038235519
2016-04-08,2047.5999755859375,2060.6298828125,2041.68994140625,2045.5400390625,3359530000,0.002782702604616504,0.006811024030067939
